153
340,165,344.22,151.67,355.55,171.76,346,171.43
100,196,101.64,197.93,105.85,208.67,100,196
130,196,153.34,190.05,142.15,196.53,133.3,200.29
160,196,164.61,195.34,188.72,199.58,181.29,200.09
190,196,195.59,198.11,190.4,207.4,190,198.5
220,196,224.38,200.49,226.09,202.53,222.37,201.58
250,196,263.79,204.83,256.95,205.06,250.61,197.57
280,196,280.66,192.21,285.9,190.21,280.66,196.22
310,196,314.59,196.16,326.01,202.48,320.85,200.88
340,196,364.11,197.05,350.7,201.54,341.95,201.01
100,227,125.95,222.02,129.44,228.55,100,227
130,227,130.89,214.21,147.63,228.24,144.18,230.01
160,227,162.12,228.7,162.36,238.24,160.75,231.28
190,227,213.71,225.96,199.21,241.17,191.78,235.45
220,227,220.98,228.1,224.9,237.62,221.91,231.91
250,227,271.66,231.16,259.39,233.23,253.91,230.26
280,227,280.5,222.21,289.24,224.84,289.8,237.51
310,227,312.34,236.53,311.05,232.98,310,227.1
340,227,340.62,232.89,340.21,230,340.03,227.9
100,258,109.06,255.06,103.95,257.04,100,258
130,258,142.37,263.97,138.67,269.3,130.5,262.79
160,258,163.42,257.44,163.4,259.23,162.75,262.49
190,258,195.81,266.94,195.07,272.38,190.59,262.19
220,258,221,260.35,222.03,267.65,220.03,258.9
250,258,258.02,248.08,268.55,255.52,267.88,260.9
280,258,295.98,266.27,283.76,263.17,280.12,258.7
310,258,314.16,267.78,314.12,272.66,310.62,263.89
340,258,352.73,250.68,352.29,260.12,351.41,261.7
100,289,109.16,287.94,100.19,289.04,100,289
130,289,132.27,289.39,132.49,303.25,130.34,298.6
160,289,161.22,277.32,171.2,289,163.64,295.34
190,289,198.11,280.3,207.96,280.02,206.94,289.74
220,289,220.97,286.24,241.25,298.57,229.77,298.18
250,289,254.78,289.21,261.31,294.66,253.1,291.8
280,289,303.38,283.55,281.98,294.1,280.07,290.9
310,289,320.82,301.15,314.06,297.15,310.03,290
340,289,363.34,283.05,357.41,294.87,342.85,294.72
100,320,100.11,319.71,103.89,317.99,100,320
130,320,140.07,322.68,140.01,323.13,138.62,331.84
160,320,162.18,332.45,160.39,331.3,160,333.5
190,320,193.27,321.47,202.44,332.21,190.52,335
220,320,220.75,327.19,220.29,328.2,220,334.2
250,320,251.07,319.04,254.51,318.17,253.92,319.25
280,320,293.08,309.11,297.94,315.82,294.65,317.62
310,320,322.38,320.32,320.11,332.52,313.36,328.64
340,320,351.91,319.27,350.95,326.76,342.46,321.58
100,351,114.63,338.83,124.39,351.43,100,351
130,351,132.19,359.93,131.5,359.57,130.12,352.1
160,351,160.38,345.6,172.08,351.85,160.13,352.2
190,351,197.8,356.57,197.18,358.7,191.98,353.73
220,351,225.27,356.17,221.12,361.69,220.26,358.5
250,351,250.44,350.55,265.87,347.95,251.85,353.54
280,351,280.45,348.41,299.7,352.74,286.63,364.29
310,351,315,351.72,321.41,356.32,315.81,358.99
340,351,348.62,353.91,344.75,357.9,340.58,356.49
100,382,102.71,374.32,103.52,382.37,100,382
130,382,135.8,381.22,144.43,385.68,152.19,391.64
160,382,162.45,384.41,167.48,393.51,160.41,382.77
190,382,198.61,383.32,197.14,386.57,192.75,386.49
220,382,236.91,374.65,239.45,391.07,231.22,390.64
250,382,255.32,394.52,251.58,388.45,250.28,383.59
280,382,283.84,387.58,283.24,389.63,281.35,385.84
310,382,312.72,384.67,312.63,386.3,311.53,396.58
340,382,341.32,382.61,343.45,383.67,347.36,386.09
100,413,112.89,408.97,108.52,411.01,100,413
130,413,133.16,422.98,131.01,427.39,130,420.2
160,413,160.2,412.99,163,413.05,189.51,415.07
190,413,204.78,412.61,197.63,419.11,190,421.8
220,413,232.53,422.29,223,425.21,221.99,422.45
250,413,250.35,412.64,268.28,421.23,251.73,422.86
280,413,281.4,411.56,293.64,420.31,286.23,423.86
310,413,317.33,411.67,333.64,417.07,312.08,427.86
340,413,357.15,411.02,356.86,422.36,343.99,415.37
100,444,128.72,447.58,100.91,444.39,100,444
130,444,153.88,435.95,134.05,452.77,130.61,446.18
160,444,160.34,443.53,181.63,451.57,161.06,450.08
190,444,219.24,442.46,204.83,447,194.54,448.46
220,444,220.39,447.69,220.53,451.6,220.27,451.6
250,444,276.37,450.72,267.12,454.57,254.44,449.79
280,444,290.05,444.89,288.36,453.85,285.81,455.64
310,444,317.37,441.79,312.87,447.73,310.35,446.49
340,444,345.35,455.6,343.67,457.07,340.37,449.3
100,475,104.69,476.7,103.5,478.93,100,475
130,475,130.9,473.89,146.33,484.07,132.97,489.12
160,475,161.02,460.41,168.35,483.2,166.09,482.94
190,475,195.63,474.3,213.02,480.37,194.45,478.56
220,475,234.55,473.19,241.7,479.38,224.69,481.81
250,475,250.86,471.93,256,486.2,251,478.56
280,475,290.38,471.09,300.83,484.05,293.48,483.94
310,475,330.83,470.36,311.92,484.15,310.34,479.8
340,475,360.46,468.36,348.61,479.46,340.91,481.48
100,506,122.11,500.84,105.78,519.6,100,506
130,506,134.33,503.51,144.85,507.04,142.3,517.57
160,506,170.08,504.06,169.35,508.7,161.05,507.62
190,506,201.72,502.75,202.18,505.68,194.54,517.68
220,506,234.17,504.23,237.6,506.15,228.6,509.74
250,506,262.3,499.85,262.28,514.15,252.25,511.28
280,506,289.77,520.18,280.45,518.9,280,512.2
310,506,310.52,510.99,310.54,513.8,310,511.3
340,506,355.45,499.97,341.41,506.71,340.07,506.09
